y_cm,perimeter_cm
0.000,0.000
1.000,22.000
2.000,34.000
3.000,46.000
4.000,58.000
5.000,66.000
6.000,72.000
7.000,76.000
8.000,78.000
9.000,82.000
10.000,84.000
11.000,88.000
12.000,88.000
13.000,90.000
14.000,90.000
15.000,90.000
16.000,90.000
17.000,88.000
18.000,88.000
19.000,88.000
20.000,88.000
21.000,84.000
22.000,82.000
23.000,82.000
24.000,82.000
25.000,82.000
26.000,80.000
27.000,78.000
28.000,78.000
29.000,78.000
30.000,76.000
31.000,74.000
32.000,76.000
33.000,78.000
34.000,84.000
35.000,84.000
36.000,108.000
37.000,110.000
38.000,124.000
39.000,128.000
40.000,132.000
41.000,134.000
42.000,138.000
43.000,142.000
44.000,148.000
45.000,150.000
46.000,156.000
47.000,156.000
48.000,162.000
49.000,166.000
50.000,170.000
51.000,172.000
52.000,172.000
53.000,176.000
54.000,180.000
55.000,182.000
56.000,184.000
57.000,186.000
58.000,186.000
59.000,188.000
60.000,188.000
61.000,190.000
62.000,188.000
63.000,190.000
64.000,190.000
65.000,190.000
66.000,186.000
67.000,186.000
68.000,188.000
69.000,188.000
70.000,188.000
71.000,189.657
72.000,189.657
73.000,189.657
74.000,189.657
75.000,189.657
76.000,191.314
77.000,191.314
78.000,191.314
79.000,191.314
80.000,247.657
81.000,247.657
82.000,247.657
83.000,247.657
84.000,245.657
85.000,245.657
86.000,245.657
87.000,237.657
88.000,239.657
89.000,233.657
90.000,228.000
91.000,230.000
92.000,230.000
93.000,226.000
94.000,228.000
95.000,231.657
96.000,231.657
97.000,231.657
98.000,232.000
99.000,228.000
100.000,179.657
101.000,177.657
102.000,176.000
103.000,172.000
104.000,172.000
105.000,172.000
106.000,172.000
107.000,172.000
108.000,172.000
109.000,172.000
110.000,170.000
111.000,168.000
112.000,166.000
113.000,166.000
114.000,160.000
115.000,158.000
116.000,154.000
117.000,155.657
118.000,194.000
119.000,189.657
120.000,135.657
121.000,133.657
122.000,126.000
123.000,124.000
124.000,122.000
125.000,118.000
126.000,114.000
127.000,115.657
128.000,113.657
129.000,111.657
130.000,144.000
131.000,140.000
132.000,140.000
133.000,134.000
134.000,134.000
135.000,134.000
136.000,126.000
137.000,126.000
138.000,126.000
139.000,128.000
140.000,122.000
141.000,122.000
142.000,122.000
143.000,122.000
144.000,122.000
145.000,116.000
146.000,116.000
147.000,112.000
148.000,116.000
149.000,112.000
150.000,112.000
151.000,110.000
152.000,104.000
153.000,100.000
154.000,104.000
155.000,104.000
156.000,104.000
157.000,104.000
158.000,112.000
159.000,124.000
160.000,124.000
161.000,124.000
162.000,126.000
163.000,124.000
164.000,126.000
165.000,126.000
166.000,126.000
167.000,122.000
168.000,118.000
169.000,122.000
170.000,114.000
171.000,112.000
172.000,110.000
173.000,110.000
174.000,124.000
175.000,126.000
176.000,132.000
177.000,136.000
178.000,134.000
179.000,140.000
180.000,142.000
181.000,142.000
182.000,144.000
183.000,138.000
184.000,132.000
185.000,126.000
186.000,120.000
187.000,111.314
188.000,88.000
189.000,32.000
190.000,0.000
